z153yi8,u5erb551yo,vbi5ustafos,v1sves1l,nj8d1js6mly,zw9u23wfoat,bslnykoygnx,ixet0uzuuoh,bcqe6tdkash,gnyebdyjsq,laedo3e,u3onbs8utn,910alza9eq,qvwwq8qe00,ykri3z1g,gds8lo,zy5q4ch85,snbu4rj,y02zr8iy,oep16bl,hvh8c4,fqs6141,vrhnlr48,v0zfxgo3xh8,47scottr,98nwv2,m8b70rwh
mc_ID_1793,"education: bachelors degree working as management, Married Male with one child",50K+,"Fruit from Produce department, Ordered Brand : Tri-State",-13.9836,11.0618,2.9217999999999997,no,"['Florist', 'Coffee Bar']",Save It (Sale),Mid-Size,2.84 M,0.994 M,2551.4,3200.69,389.54,259.66,394.5512,rio de janeiro,RJ,-22.931508341392973,-43.18179399042069,sao paulo,SP,-23.554079433810344,-46.53324185942636,3.0
mc_ID_1794,"Married Female with two kids, education: partial high school working as skilled manual",10000,"Magazines from Periodicals department, Ordered Brand : Excel",28.6358,data: 27.1822,1.453599999999998,yes,"['Ready Food', 'Coffee Bar', 'Bar For Salad', 'Florist']",Saving Days,GOURMET,€12.3M,4.6336 M,1564.86,2207.28,385.45,,474.0995,Parnemirim,RN,-5.909983102982712,-35.26737961888273, franca ,SP,-20.54822779974972,-47.395897060007975,5.0
mc_ID_1795,"Single Female with one child, education: partial high school working as manual",10K+,"Vegetables from Produce department, Ordered Brand : High Top",31.8337,30.2347,data: 1.5990000000000002,no,[],Tip Top Savings,Mid-Size,$4.29 M,2.1021 M,2819.7,3565.8,447.7,298.5,416.2557,campo grande,"MS
",-20.438625865398983,-54.622625500144224,ri0 	claro,Sp,-22.404280214539902,-47.57843446971193,data: 5.0
mc_ID_1796,"Single Female wiht two children, education: Bachelors degree working as professional",50 Thousand,"Specialty from Produce department, Ordered Brand : Hermanos",24.4204,22.8214,1.5990000000000002,yes,"['Coffee Bar', 'Florist', 'Ready Food', 'Video Store', 'Bar For Salad']",Two Day Sale,DELUXE,10.12 M,4.6552 M,2035.72,2844.82,481.98,321.26,495.7517,rio de janeiro,rj,-22.906489452680457,-43.60277467929481,mar1nga,PR,-23.377396999935016,-51.93100618003307,1.0
mc_ID_1799,"married male wiht no children, education: bachelors degree working as professional",70K+,"Candles from Household department, Ordered Brand : High Quality",14.3179,val: 11.4107,2.9072,no,[],Mystery Sale,Supermarket,3.16 M,1.264 M,1623.48,2196.32,341.05,226.65,R$3954.32,diadema,_SP,amount: -23.661923109309388,amount: -46.626498057122376,ibitinga_,sP,-21.7664768468313,-48.83154737836604,4.0
mc_ID_1801,SiNgLe fEmAlE WiTh tWo kIdReN; eDuCaTiOn: PaRtIaL CoLlEgE WoRkInG As mAnAgEmEnT,30K or more,"Dairy from Dairy department, Ordered Brand : Even Better",measure: 17.4431,13.0823,4.360800000000001,yes,"['Video Store', 'Bar For Salad', 'Florist', 'Coffee Bar', 'Ready Food']",Fantastic Discounts,Gourme7,$2.16 M,0.864 M,1424.85,2204.44,465.54,310.3,€611.08,aruja_,Sp,-23.42070477589193,-46.31999795222253,santos,SP,-23.93465945090488,-46.331065142884974,5.0
mc_ID_1802,"Married Female with five children, education: high school degree working as professional",130k,"Meat from Deli department, Ordered Brand : Lake",9.6809,8.2128,1.4680999999999995,no,"['Florist', 'Bar For Salad', 'Ready Food', 'Video Store', 'Coffee Bar']",Price Cutters,Deluxe,12.8 M,4.736 M,1524.18,2149.46,373.1,248.79,642.0871,sao paulo,SP,-23.584944887039057,val: -46.51220406119799,sao jose do rio preto,Sp,-20.80243626346376,-49.39562406741489,5.0
mc_ID_1803,"Married Female with two children, education: partial high school working as skilled manual",10k,"Electrical from Household department, Ordered Brand : Denny",val: 19.3328,-16.4256,2.9072,yes,"['Ready Food', 'Coffee Bar', 'Florist', 'Bar For Salad', 'Video Store']",Price Cutters,Delux3,11.1 M,3.33 M,1525.28,,373.1,248.79,642.0871,osasco,SP,-23.48960523619365,-46.79252124522469,formiga,MG,-20.474084262411907,-45.424321458052006,5.0
mc_ID_1809,"Married Male with one child, education: bachelors degree working as professional",1320+ monthly,"Snack Foods from Snack Foods department, Ordered Brand : Fast",28.9265,measure: nan,,no,[],Save It (Sale),Sup3rmarket,$11.34 M,3.6288 M,2049.72,2815.53,457.36,305.08,467.4051,bARueRi,SP,-23.508473315910926,-46.879738398736976,praia grande,SP,-24.011288218359883,-46.41873374429398,5.0
mc_ID_1810,"Single Male with one kid, education: partial high school working as manual",10K+,"Baking Goods from Baking Goods department, Ordered Brand : Landslide",14.972,13.5184,1.4535999999999998,yes,[],Price Winners,Supermark3t,3.04 M,1.2464 M,2049.72,2812.26,457.36,,599.358,barra velha,Sç,measure: -26.70909855991671,-48.69369179611,sa0 paulo,sp,val: -23.646246311207523,-46.66349868836885,5.0
mc_ID_1811,"Single Male with No children, education: partial high school working as professional",70K+,"Candy from Snacks department, Ordered Brand : Choice",10.0153,-8.5471,1468.20 grams,no,"['Coffee Bar', 'Ready Food', 'Video Store', 'Bar For Salad', 'Florist']",Shelf Clearing Days,Deluxe,1.59 M,0.6519 M,,2856.41,593.93,396.98,amount: 516.7763,n@tal,Rn,amount: -5.87077334110451,-35.20888722814357,barueri,SP,-23.491791912543025,-46.94733309700014,5.0
mc_ID_1812,"Single Female with four children, education: high school degree working as management",70K+,"Magazines from Periodicals department, Ordered Brand : Mighty Good",data: 26.6008,25.0018,1.5990000000000002,no,"['Florist', 'Bar For Salad', 'Video Store', 'Ready Food', 'Coffee Bar']",Dimes Off,Deluxe,8.1 M,3.24 M,2038.11,2845.23,481.98,321.26,602.7575,teixeira de frei7as,BA,val: -17.544689915540296,-39.732032076125,	Sao Paulo,SP,-23.577073040798663,-46.7199426382077,1.0
mc_ID_1815,"Single Male with two children , education: high school degree working as manual",30 Thousand,"Frozen Entrees from Frozen Foods department, Ordered Brand : Carrington",,8.8088,,yes,[],Promo Big,Supermark3t,7.05 M,3.384 M,2049.72,2816.96,459.36,302.99,515.2596,brasilia,DF,-15.78622682820994,amount: -48.13030013702988,ribeirao pires,SP,val: -23.73407261059953,-46.44241000920845,5.0
mc_ID_1816,"Single Male with one child, education: high school degree working as skilled manual",30K+,"Decongestants from Health and Hygiene department, Ordered Brand : Hilltop",31.2522,26.8915,4.360699999999998,yes,"['Ready Food', 'Bar For Salad']",Save Price,SUPERMARKET,5.04 M,2.3688 M,,3232.19,470.27,313.55,406.4756,tubarao,SC,-28.46951928224586,-48.99324969252177,campin4s,SP,-22.90081444463038,,1.0
mc_ID_1817,"mARRIED mALE WITH ONE CHILD, EDUCATION: BACHELORS DEGREE WORKING AS MANAGEMENT",50K+,"Snack Foods from Snack Foods department, Ordered Brand : Fast",24.5657,-999.0,3.0524999999999984,no,[],Super Wallet Savers,Supermarket,1.2 M,0.408 M,1505.36,1888.31,227.8,151.9,733.1937,VIaNa,nil,-20.391156354417014,measure: -40.497036236278014,ITaQuaqUEcetuBA,SP_,-23.48262344063541,data: -46.37448952833195,4.0
mc_ID_1819,"Married Male with four children, education: bachelors degree working as management",50K+,"Snack Foods from Snack Foods department, Ordered Brand : Fast",23.4028,722.97 oz,2.9071,yes,['Florist'],Pick Your Savings,SUPERMARKET,11.8 M,3.54 M,1320.15,2189.68,523.32,348.85,769.6991,alegrete,rs,-29.79645588367611,-55.80629280612684,SAO PAULO,SP,-23.539494799586286,-46.63284391414975,1.0
mc_ID_1820,"Married Female with one child, education: partial college working as professional",30K+,"Pizza from Frozen Foods department, Ordered Brand : Golden",23.8389,20.7864,-1.0,yes,"['Bar For Salad', 'Coffee Bar', 'Video Store', 'Ready Food', 'Florist']",Save Price,deluxe,2.88 M,0.9504 M,2038.11,2844.04,481.98,320.5,284.3028,nova iguacu,RJ,-22.76349068629001,-43.48523296340309,santo andre,SP,-23.665703457960586,-46.51808196779969,5.0
mc_ID_1822,"Single Female with one child, education: partial high school working as manual",10K+,"Pizza from Frozen Foods department, Ordered Brand : Big Time",22.5307,18.1699,4.360800000000001,yes,[],GLD,Supermarket,2.4 M,0.768 M,2049.72,2815.06,459.36,304.91,697.7866,garca,SP,-22.218988944556266,-49.64362334020589,SANTOS,SP,-23.93465945090488,-46.331065142884974,1.0
mc_ID_1824,"Married Female with one child, education: bachelors degree working as professional, Married Female with one child",50K+,"Hot Beverages from Beverages department, Ordered Brand : Landslide",measure: nan,14.972,amount: nan,no,['Florist'],Big Time Discounts,Supermarket,11.12 M,5.4488 M,1320.15,,523.32,,765.7243,rio de janeiro,Rj,measure: -22.88641096422165,-1,itatiba,$P,-22.99567770323237,-46.857106243157794,3.0
mc_ID_1825,"Single Male with four children, education: partial college working as skilled manual",30K+,"Kitchen Products from Household department, Ordered Brand : High Quality",-12.1956,-9.2885,-2.9071,yes,"['Bar For Salad', 'Florist', 'Coffee Bar', 'Video Store', 'Ready Food']",Sale Sale Sale,Deluxe,18.85 M,8.1055 M,1525.28,2147.17,373.1,250.46,722.6814,campina grande,Pb,-7.223608617819773,-35.87588797757268,guarulhos,SP,-23.461303138496163,-46.518866387039054,5.0
mc_ID_1826,"Single Male with one kid, education: partial high school working as manual",10K+,"Vegetables from Canned Foods department, Ordered Brand : Blue Label",30.8162,26.4554,4.360799999999998,no,['Florist'],Dollar Days,Supermarket,$11.49 M,3.7917 M,1320.15,2194.96,,350.26,748.0992,Ferraz De Vasconcelos,SP,-23.55815834506196,-46.37040442423026,sao carlos,SP,-22.01139055955482,-47.886487092764376,1.0
mc_ID_1827,"Single Female with No children, education: partial high school working as manual",30K+,"Hot Beverages from Beverages department, Ordered Brand : CDR",data: nan,11.2944,,no,['Florist'],,supermarket,11.12 M,5.2264 M,1317.64,2192.32,523.32,348.85,measure: 292.6708,PONTA GROSSA,PR,-25.062796694472123,-50.13504688484768,sao paulo,SP,-23.693985995008337,-46.70188324132953,amount: 5.0
mc_ID_1828,"MARRIED MALE WITH ONE CHILD, EDUCATION: PARTIAL HIGH SCHOOL WORKING AS MANUAL",10K+,"Cleaning Supplies from Household department, Ordered Brand : Red Wing",20.3503,17.4431,2.9072,no,[],Price Winners,5UPeRmaRKeT,1.86 M,0.744 M,2046.81,2811.49,457.36,305.17,val: 497.9483,"leme
",_Sp,-22.20297400925932,,sAlto,sp,-23.17588057617297,-47.31592004954123,5.0
mc_ID_1829,"Married Female with four children, education: high school degree working as skilled manual",30K+,"Jams and Jellies from Baking Goods department, Ordered Brand : Plato",-9.3321,4.9713,-4.3608,no,"['Ready Food', 'Coffee Bar', 'Video Store', 'Florist', 'Bar For Salad']",Price Slashers,DELUXE,€12.7M,6.258 M,1734.5,2572.86,503.07,335.38,282.9953,JABOAtaO DOs gUAR4RaPEs,Pe,amount: -8.133390600650493,-34.97657422671821,COnSELhEIRo lAFAietE,MG,measure: -20.656390614345373,-43.80405126006627,5.0
mc_ID_1831,"Married Female with four children, education: partial high school working as management",110K+,"Cold Remedies from Health and Hygiene department, Ordered Brand : Hilltop",18.7513,data: 14.376,-4.375300000000001,yes,"['Bar For Salad', 'Florist', 'Ready Food', 'Coffee Bar', 'Video Store']",Big Time Discounts,Deluxe,"3.65 ,000,000",1.679 M,2037.36,2841.35,483.98,320.15,328.1302,RIBEIRAO PRETO,SP,-21.210104711049134,-47.80139005429387,sAO Paulo,sp,-23.50869470774424,-46.48672956633388,5.0
mc_ID_1832,"Single Male with two children, education: partial college working as management",30K+,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel",24.7111,,,yes,[],Two for One,Supermarke7,4.68 M,1.7784 M,,2811.99,457.36,305.86,data: 300.8296,vitoria,3S,-20.308649814273863,amount: -40.3121400645295,contagem,MG,-19.92889941209888,-44.026109375532336,5.0
mc_ID_1834,"Married Female with four children, education: bachelors degree working as professional",50K+,"Pizza from Frozen Foods department, Ordered Brand : Imagine",23.5482,22.0946,1.4536000000000016,yes,"['Bar For Salad', 'Ready Food']",Wallet Savers,Supermarket,8.1 M,3.807 M,2448.37,3231.41,470.27,314.32,324.8876,barueri,sp,-23.54787985761916,-46.88417090735773,sao paulo,SP,-23.65111484251016,-46.75521082321932,5.0
mc_ID_1835,"Married  Female  with  two  childran,  education:  partial  high  school  working  as  manual",30K+,"Hot Beverages from Beverages department, Ordered Brand : CDR",24.275,21.3678,2.9072,yes,"['Ready Food', 'Bar For Salad', 'Coffee Bar', 'Florist']",Bag Stuffer,Deluxe ,5.46 M,1.638 M,2055.29,3145.51,654.13,436.09,367.7736,santa barbara d'oeste,"SP
",-22.74909427716957,val: -47.42443670394211,COTIA,5P,-23.60522961818243,measure: -46.90761789965579,5.0
mc_ID_1837,"Single Female with three children, education: high school degree working as manual",30K+,"Canned Soup from Canned Foods department, Ordered Brand : Blue Label",22.0946,17.5885,4.5061,yes,"['Video Store', 'Coffee Bar', 'Ready Food', 'Florist', 'Bar For Salad']",Super Savers,Deluxe,9.57 M,4.0194 M,1524.16,2151.25,373.1,248.79,755.9442,rio de janeiro,RJ,-22.85673089425243,-43.30517848917994,sao pAulO,SP,amount: -23.54029947071385,-46.66278360519932,5.0
mc_ID_1838,"MARRIED FEMALE WITH TWO CHILDREN, EDUCATION: GRADUATE DEGREE WORKING AS PROFESSIONAL",70K+,"Kitchen Products from Household department, Ordered Brand : Denny",29.944,27.0368,-999.0,yes,[],Wallet Savers,Supermarket,15.24 M,5.1816 M,1508.0,1889.44,227.8,151.9,277.8699,rio de janeiro,RJ,-22.984241961423034,-43.19056825090884,foz do iguacu,PR,-25.548584861815545,-54.58121020316589,measure: 4.0
mc_ID_1840,"Single Male with three kidren, education: HS degree working as skilled manual",10K+,"Paper Products from Household department, Ordered Brand : Denny",30.6708,27.7636,2.9072,no,"['Bar For Salad', 'Florist', 'Coffee Bar', 'Ready Food']",Discount Frenzy,Deluxe,"5.37 ,000,000",2.6313 M,2054.1,3145.51,654.13,436.09,779.6884,Sao Jose Dos Campos,SP,data: -23.22917289647413,-45.925893267413024,sao paulo,SP,-23.48618566157444,-46.46171801285908,1.0
mc_ID_1841,"Married Male with two children, education: bachelors degree working as professional",70K+,"Fruit from Produce department, Ordered Brand : Hermanos",,21077.10 grams,data: nan,no,['Florist'],Weekend Discount,Supermarket,8.88 M,3.3744 M,1320.15,2195.63,523.32,348.85,R$1535.19,juiz de fora,_MG,-21.77220552899768,-43.35345796280802,sao paulo,Sp,val: -23.539824031911863,amount: -46.434679443937874,5.0
mc_ID_1843,"Single Male with one child, education: partial high school working as skilled manual",10K+,"Snack Foods from Snack Foods department, Ordered Brand : Horatio",-17.1524,data: 14.2452,2.9072,no,"['Ready Food', 'Bar For Salad']",Roller Savings (High) ,SupeRMARKet,10.77 M,5.0619 M,2265.9,3687.88,853.22,568.17,356.4245,SaO PaUlo,$p,-23.532125805701536,val: -46.725699251889765,s0rocaba,SP,-23.520480249006216,-47.44649732938174,4.0
mc_ID_1844,"Married Female with one child, education: bachelors degree working as professional",50K+,"Breakfast Foods from Frozen Foods department, Ordered Brand : Big Time",28.4904,25.5832,-2.9072,no,"['Florist', 'Bar For Salad', 'Coffee Bar', 'Ready Food']",Price Destroyers,Gourmet,14.76 M,5.3136 M,1564.86,2208.51,385.45,,measure: 343.5064,recIfE,pe,-8.109659996393315,-34.89334721273588,SAO PAULO,SP,-23.50126797890817,-46.73964800083672,5.0
mc_ID_1846,"Single Male with two children, education: bachelors degree working as management",10K+,"Vegetables from Canned Foods department, Ordered Brand : Just Right",26.1647,23.2575,2.9072,no,"['Ready Food', 'Bar For Salad']",Green Light Special,Supermarket,6.45 M,2.58 M,2265.9,3691.09,,568.75,val: 643.3946,niteroi ,RJ,-22.944019808500155,-43.06302670148316,barueri,sp,-23.491791912543025,-46.94733309700014,5.0
mc_ID_1848,"Single Male with one child, education: bachelors degree working as professional",Income: 110K+,"Meat from Frozen Foods department, Ordered Brand : PigTail",val: 28.3451,25.4379,-2.9072,yes,"['Coffee Bar', 'Bar For Salad', 'Florist', 'Video Store', 'Ready Food']",Two Day Sale,DeLUxe,6.63 M,3.1824 M,2038.11,,481.98,323.22,495.7517,santos_,SP,-23.96705241661365,-46.33691592783774,guarulhos,Sp,-23.44007914793122,-46.51144923980033,4.0
mc_ID_1849,"Married Male with three children, education: partial high school working as manual",10000,"Pure Juice Beverages from Beverages department, Ordered Brand : Skinner",-21.3678,16.8617,4.5061,yes,[],Sales Days,Supermerket,6.42 M,3.1458 M,,,457.36,303.23,610.5502,rio de janeiro,RJ,-22.933479697760923,-43.350149913122536,jundiei,SP,-23.221847481562573,-46.86292270289681,1.0
mc_ID_1850,"mARRIED mALE WITH nO KIDS, EDUCATION: PARTIAL HIGH SCHOOL WORKING AS SKILLED MANUAL",10K+,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel",24.7111,21.8039,data: 2.9072,yes,"['Bar For Salad', 'Video Store', 'Ready Food', 'Coffee Bar', 'Florist']",Price Winners,Deluxe,"6.36 ,000,000",2.4804 M,2040.77,2840.63,481.98,322.37,453.9117,videira,Sk,-27.00086872288371,-51.14532022116548,praia grande,SP,-24.026786758814687,amount: -46.49304889148245,4.0
mc_ID_1853,"Single Female with two children, education: partial high school working as skilled manual",30k,"Hot Beverages from Beverages department, Ordered Brand : CDR",data: nan,14.972,-1.0,yes,"['Video Store', 'Florist', 'Coffee Bar', 'Ready Food', 'Bar For Salad']",Price Winners,Deluxe,"10.74 ,000,000",5.0478 M,2037.2,2845.62,481.98,321.26,measure: 453.9117,LINHARES,E$,-19.404003708258912,-40.06159959748777,guarulhos,SP,val: -23.44549010713256,-46.45827561587512,10.0/10
mc_ID_1856,"Married Male with two children, education: high school degree working as skilled manual",Income: 30K+,"Breakfast Foods from Frozen Foods department, Ordered Brand : Golden",12.8352,,,yes,"['Coffee Bar', 'Florist', 'Ready Food', 'Video Store', 'Bar For Salad']",Promo Big,GOURMET,7.08 M,2.7612 M,1422.06,2197.42,465.54,308.33,amount: 612.1192,cassia,MG,val: -20.58820497723785,-46.92148379210144,Sao Pau1O,SP,-23.5706181335045,-46.50933181986844,5.0
mc_ID_1857,"Single Female with three children, education: high school degree working as manual",30K+,"Bathroom Products from Health and Hygiene department, Ordered Brand : Faux Products",,12.5009,,yes,"['Coffee Bar', 'Florist', 'Ready Food', 'Bar For Salad']",,De1uxe,11.92 M,4.5296 M,2057.37,,654.13,,373.9973,sao paulo,SP,-23.67605454870451,-46.679325825292814,Sao Paulo_,SP,-23.612052666446743,-46.60783466642034,5.0
mc_ID_1860,"Married Male with two children, education: partial college working as professional",30K+ annually,"Dairy from Dairy department, Ordered Brand : Carlson",14.2016,12.748,-1.4535999999999998,no,"['Florist', 'Bar For Salad', 'Ready Food', 'Coffee Bar']",Budget Bargains,deluxE_,4.5 M,1.53 M,2055.29,3146.92,654.13,436.09,715.1502,emBU DAS ArTes,SP,-23.645106,-46.83806297056964,VLCENTE DE CARVALHO,SP,-23.939318620030072,-46.30539278864907,4.0
mc_ID_1861,"Single Female with five kidren, education: high school degree working as skilled manual",10K+,"Pizza from Frozen Foods department, Ordered Brand : Big Time",19.7689,16.8617,2907.20 grams,yes,[],Money Savers,Supermarket,4.65 M,1.488 M,1508.0,1886.01,227.8,,277.2423,diadema,SP,-23.68464769605881,-46.62947754509782,ibitinga,SP,-21.7664768468313,-48.83154737836604,60%
mc_ID_1862,"Single Female with four children, education: high school degree working as skilled manual",30K+,"Magazines from Periodicals department, Ordered Brand : Dollar",20.4957,17.5885,2.9072,yes,"['Florist', 'Coffee Bar', 'Bar For Salad', 'Ready Food', 'Video Store']",Sale Winners,Deluxe,8.55 M,3.42 M,1871.16,2861.13,593.93,394.41,519.7574,belo horizonte,mg,data: -19.88015521510183,-43.98396787691152,Data Missing,SC,-27.543786658615705,-48.62567962615467,5.0
mc_ID_1865,"Married Male with four kidren, education: high school degree working as skilled manual",30K+,"Jams and Jellies from Baking Goods department, Ordered Brand : Super",23.9843,21.0771,2.9072,no,[],Mystery Sale,Supermarket,"11.88 ,000,000",3.9204 M,,,341.05,227.33,718.9681,morada nova,PA_,-5.367055329732242,-49.12499133553474,_fRanCA,SP,-20.50234199999999,-47.4215895,5.0
mc_ID_1866,"Single Male with two children, education: high school degree working as skilled manual",50K+ annually,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel",10.6258,7.704,2.9218,yes,"['Ready Food', 'Bar For Salad']",Three for One,Supermarket,4.26 M,1.5336 M,2265.9,3687.88,853.22,568.75,618.4475,campinas,SP,-22.910307139332875,-47.08435468122806,santo angelo,R5,amount: -28.281003423550747,-54.258283178397335,4.0
mc_ID_1867,"Single Female with two children, education: partial college working as professional",110K+,"Canned Anchovies from Canned Foods department, Ordered Brand : Pleasant",-13.6928,10.7857,2.9071,yes,"['Video Store', 'Florist', 'Ready Food', 'Bar For Salad', 'Coffee Bar']",Roller Savings (High) ,Gourmet,10.32 M,3.612 M,1424.85,2200.69,,310.3,532.6232,bauru,SP,-22.305639680591103,-49.02685106362223,RiO de JaneiRO,RJ,data: -22.93125598447676,amount: -43.17881321481337,1.0
mc_ID_1870,"Married Female with four children, education: bachelors degree working as professional",70K+,"Snack Foods from Snack Foods department, Ordered Brand : Fast",9.9426,5.5818,4.3608,no,['Coffee Bar'],Weekend Discount,Suparmarket,6.04 M,2.7784 M,1236.07,1970.94,440.92,293.95,364.1649,jAraGuA DO SUl,SC,-26.46850294670808,-49.109883098307336,sao paulo,SP_,-23.66897161033521,-46.70251155358061,5.0
mc_ID_1871,"Married Male with two children, education: bachelors degree working as management",90K+,"Vegetables from Canned Foods department, Ordered Brand : Pleasant",-8.896,4.5207,4.375300000000001,yes,"['Bar For Salad', 'Ready Food']",Price Destroyers,Supermarket,€6.0M,2.17 M,2265.9,3686.07,,568.75,304.7521, brodowski,$p,-20.98496873647953,-47.66278991609981,SEO PAULO,5P,-23.537511255832708,-46.63705730743676,1.0
mc_ID_1873,"Single Male with two children, education: bachelors degree working as professional",50K+,"Vegetables from Produce department, Ordered Brand : High Top",28.6358,27.1822,1.453599999999998,no,"['Bar For Salad', 'Florist', 'Ready Food', 'Coffee Bar']",Dollar Days,Deluxe,8.25 M,3.135 M,,3148.95,654.13,436.09,val: 725.9763,MACAIBA,RN,measure: -5.862482865420898,-35.344513728787064,SAO ROQUE,SP,measure: -23.53626695697963,-47.13489184347044,4.0
mc_ID_1874,"Married Female with two children, education: bachelors degree working as professional",50K+,"Magazines from Periodicals department, Ordered Brand : Robust",16.2802,,,yes,"['Coffee Bar', 'Bar For Salad', 'Video Store', 'Florist', 'Ready Food']",Price Smashers, Deluxe ,7.41 M,3.6309 M,1525.28,2147.17,373.1,248.79,499.2035,Sao Paulo,SP,-23.664255516792647,-46.68857909339831,RECIFE,PE,-8.138173275583135,-34.9322264583223,5.0
mc_ID_1875,"MARRIED FEMALE WITH THREE CHILDREN, EDUCATION: PARTIAL HIGH SCHOOL WORKING AS MANAGEMENT",70K+,"Kitchen Products from Household department, Ordered Brand : Cormorant",11.8759,10.4223,-1.4535999999999998,yes,"['Bar For Salad', 'Florist', 'Coffee Bar', 'Ready Food']",Roller Savings (High) ,Gourmet,"1.56 ,000,000",0.7488 M,1565.48,2206.76,385.45,256.97,amount: 637.6939,MAGE,rj,-22.585506064680946,-43.173563653166944,LARANJAL PAULISTA,SP,amount: -23.03582473318652,-47.8363026594829,5.0
mc_ID_1876,"Married Female with three children, education: high school degree working as professional",130K+,"Dairy from Dairy department, Ordered Brand : Carlson",12.6608,Not Specified,2.9072,yes,"['Bar For Salad', 'Ready Food']",Money Savers,SUPERMARKET,"3.64 ,000,000",1.3104 M,2265.9,3687.88,853.22,568.08,432.0503,Artur Nogueira,SP,amount: -22.559120480675748,-47.16516839542564,SAO PAULO,sp,-23.681542547319527,-46.70780575451552,5.0
mc_ID_1877,"Single Male with three children, education: partial high school working as professional",130K+,"Jams and Jellies from Baking Goods department, Ordered Brand : Plato",27.6183,24.7111,2.907200000000003,yes,[],Price Winners,Supermarket,3.63 M,1.452 M,2050.78,2811.99,457.36,304.91,599.358,duquedecaxias,rj,-22.67370215083843,-43.24629476920249,SaO PaULo,Sp,-23.554079433810344,-46.53324185942636,1.0
mc_ID_1878,"Single Female with three children, education: partial high school working as skilled manual",10K+,"Jams and Jellies from Baking Goods department, Ordered Brand : Plato",17.4431,-13.0823,4.360800000000001,yes,[],Price Cutters,mld-size,4.9 M,1.862 M,2087.17,3394.56,785.64,522.49,324.7307,jandira,sp,-23.55933678143786,-46.90478111014794,cosmopolis,SP,-22.63040932101044,-47.20184824565054,5.0
mc_ID_1880,"Married Male with three children, education: partial HS working as manual",10K+,"Vegetables from Produce department, Ordered Brand : Tri-State",18.4606,-15.4081,3.0525,no,"['Coffee Bar', 'Bar For Salad', 'Ready Food', 'Video Store', 'Florist']",Lottery Cash Registerion,Deluxe,"8.4 ,000,000",3.864 M,1734.5,2573.02,503.07,334.26,500.9294,rio de janeiro,RJ,-22.884745903139223,val: -43.31832426351789,lomDRIna,Pr,-23.331043778111702,-51.17743350000001,3.0
mc_ID_1883,"Married Male with four children, education: high school degree working as skilled manual",€25K+,"Snack Foods from Snack Foods department, Ordered Brand : Horatio",15.4081,12.5009,val: 2.9072,yes,"['Coffee Bar', 'Video Store', 'Bar For Salad', 'Florist', 'Ready Food']",Super Duper Savers,Deluxe,11.7 M,3.627 M,1525.28,2145.34,373.1,248.79,266.73,CAscavel,Pr,-24.98699978821639,-53.450685208725176,laranjal paulista,5P,-23.03582473318652,measure: -47.8363026594829,5.0
mc_ID_1884,"Single Male with four children, education: partial high school working as manual",30K or more,"Vegetables from Frozen Foods department, Ordered Brand : PigTail",,9.492,,yes,"['Ready Food', 'Bar For Salad', 'Florist', 'Coffee Bar', 'Video Store']",,Deluxe,11.85 M,5.5695 M,2038.11,2840.73,481.98,321.26,R$4220.40,fortaleza,CE,-3.757960553060787,-38.51625458829716,rio de janeiro,Rj,measure: -22.805776179896323,-43.20393517954484,1.0
mc_ID_1887,Single Male with four children - education: high school degree working as professional,70000,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Good",-10.0153,data: 8.5471,1.4681999999999995,no,"['Coffee Bar', 'Florist', 'Video Store', 'Bar For Salad', 'Ready Food']",One Day Sale,gOuRmet,3.24 M,1.134 M,1424.85,2200.08,465.54,310.3,449.1524,SAO PAULO,SP,-23.538638336112843,-46.40901521065842,sao paulo,SP,-23.55684999916328,-46.56941527477062,5.0
mc_ID_1888,"Married Male wiht one child, education: High School degree working as skilled manual",30K+,"Snack Foods from Snack Foods department, Ordered Brand : Horatio",31.6883,30.0894,1.5989000000000004,yes,['Coffee Bar'],Dimes Off,supermarket,$5.3 M,1.802 M,1234.1,1970.94,440.92,293.95,R$3784.90,Sao Paulo,SP,data: -23.624782532892816,-46.7403537732414,curitiba,PR,amount: -25.464029318048183,-49.30472794690424,1.0
mc_ID_1890,"Single Female with two kids, education: graduate degree working as professional",70K+ annually,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Walrus",14.3906,-1.0,9.65 lbs,yes,"['Bar For Salad', 'Video Store', 'Coffee Bar', 'Florist', 'Ready Food']",Three for One,Deluxe,15.2 M,7.448 M,1871.16,2862.89,593.93,397.59,688.3726,GUARULHOS,SP,-23.41183006532724,-46.500920821017104,sarandi,PR,-23.431481257369107,val: -51.85490851643521,5.0
mc_ID_1892,"Marrie Male with two childern, education: high school degree working as skilled manual",30K+,"Cleaning Supplies from Household department, Ordered Brand : Red Wing",data: 28.1997,26.6008,1.5989000000000004,yes,"['Coffee Bar', 'Bar For Salad', 'Florist', 'Video Store', 'Ready Food']",Money Savers,Deluxe,5.84 M,2.4528 M,1871.16,2861.13,593.93,395.95,343.611,Sao Paulo,SP,-23.46904313849616,-46.72212261226844,Porto Ferreira,$P,-21.858555070695942,-47.48403458197557,1.0
