Unnamed: 0,personDescription,min._yearly_income_info,data_customer_order,grossWeight,netWeight,is_recyclable?_field,additional_features_in_market_measure,PN,SK,store_sales,SC,GA,Store Area,field_frozen_area,field_meat_area,metric_cost,customer_city,CUS56,customer_lat,var_customer_lng,field_seller_city,seller_state,seller_lat_metric,seller_lng,REV54
mc_ID_11794,"Single Male with two children, education: partial college working as skilled manual",30K+,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice",amount: 21.3678,,yes,[],Price Destroyers,,4.76 M,1.7136 M,1508.0,1887.7,227.8,151.06,val: 588.3227,porto alegre,rs,-29.991483510663272,-51.09895269471816,,,,,4.0
mc_ID_11795,"Married Female with No children, education: partial high school working as skilled manual",10K+,"Snack Foods from Snack Foods department, Ordered Brand : Fast",13.1114,10.2042,yes,"['Bar For Salad', 'Ready Food', 'Florist', 'Video Store', 'Coffee Bar']",Pick Your Savings,GOURMET,9.24 M,4.5276 M,1425.37,2200.69,465.54,308.9,351.7175,_belo horizonte,MG,-19.92449229586244,-43.947039608806,rio claro,Sp_,-22.402133192076768,-47.56233402025511,4.0
mc_ID_11798,"Single Male with four children, education: high school degree working as skilled manual",30K+,"Pizza from Frozen Foods department, Ordered Brand : Golden",24.8564,23.4028,yes,"['Florist', 'Bar For Salad', 'Ready Food', 'Video Store', 'Coffee Bar']",Promo Big,Deluxe,"3.32 ,000,000",1.0956 M,1871.16,2863.39,593.93,,data: 578.2288,_sao paulo,SP,-23.55001132944774,-46.64818240521669,lajeado,RS,-29.44175457955597,-51.96130964790591,3.0
mc_ID_11799,"SINGLE MALE W/ TWO CHILDREN, EDUCATION: PARTIAL COLLEGE WORKING AS MANAGEMENT",30K+,"Snack Foods from Snack Foods department, Ordered Brand : Fort West",23.5482,20.641,no,[],Wallet Savers,Supermarket,€6.1M,2.7768 M,2051.12,2810.0,457.36,,418.1385,limeira, SP ,data: -22.57487785152052,-47.416177053147926,londrina,PR,data: -23.331043778111702,measure: -51.17743350000001,10.0/10
mc_ID_11800,"Married Male with two children, education: high school degree working as manual",30K+,"Frozen Desserts from Frozen Foods department, Ordered Brand : Big Time",11.9921,371.74 oz,yes,"['Bar For Salad', 'Ready Food']",Save It (Sale),Supermarket_,$2.55 M,0.867 M,,3683.68,853.22,568.75,339.1132,sao paulo,SP,-23.540667757429706,-46.6155573687172,curitlba,PR,-25.43585833749783,-49.22158276824976,measure: 1.0
mc_ID_11801,"Single Male with five children, education: bachelors degree working as professional",50K+,"Specialty from Produce department, Ordered Brand : Tri-State",28.6358,24.275,no,[],Budget Bargains,supErmaRkEt,3.52 M,1.5136 M,1623.48,2192.25,341.05,227.33,623.7298,areras,SP,measure: -22.35906286886278,-47.3807194132873,sete lagoas,MG,-19.46361254830593,data: -44.24441403023008,amount: 3.0
mc_ID_11802,"Single Male with two children, education: partial high school working as skilled manual",10K+,"Vegetables from Produce department, Ordered Brand : Ebony",data: 20.7864,16.4256,yes,"['Ready Food', 'Bar For Salad']",Roller Savings (High) ,Supermarket,5.8 M,2.204 M,2265.9,3687.88,853.22,567.95,356.4245,ribeirao preto,SP,-21.16850440882337,-47.79370519233655,joinville,$C,val: -26.28314924562872,-48.85128463059032,5.0
mc_ID_11804,"Married Female with four children, education: partial high school working as skilled manual",10K or more,"Bathroom Products from Health and Hygiene department, Ordered Brand : Bird Call",,16.4256,no,"['Florist', 'Bar For Salad', 'Coffee Bar', 'Ready Food']",,Daluxe,2.08 M,0.8736 M,2052.74,3145.51,654.13,,312.9109,valinhos,SP,-22.983092033963143,measure: -46.99579127087601,itatiba,SP,-22.99567770323237,-46.857106243157794,4.0
mc_ID_11806,"Single Female with two children, education: high school degree working as manual",$30K+,"Electrical from Household department, Ordered Brand : Red Wing",measure: 28.1997,25.1472,yes,"['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Florist', 'Video Store']",Lottery Cash Registerion,Deluxe,"8.64 ,000,000",3.3696 M,1734.5,2572.86,,334.46,313.0678,ITAQUAQUECETUBA,SP,-23.464295023583936,-46.32874959104104,ibitinga,SP,amount: -21.7664768468313,-48.83154737836604,3.0
mc_ID_11807,"Single Male with four children, education: high school degree working as skilled manual",30K+,"Side Dishes from Deli department, Ordered Brand : Cutting Edge",8.9977,data: 6.0906,yes,"['Ready Food', 'Coffee Bar', 'Bar For Salad', 'Video Store', 'Florist']",Super Savers,Deluxe_,4.65 M,1.395 M,1525.28,2147.17,373.1,248.79,755.9442,sao paulo,sp ,-23.599634741329545,-46.6603591434878,barueri,SP,-23.5105249691296,-46.86104614786531,5.0
mc_ID_11808,"Maried Female with two children, education: High School degree working as skilled manual",Income: 10K+,"Frozen Desserts from Frozen Foods department, Ordered Brand : Big Time",25.0018,22.0946,no,"['Bar For Salad', 'Video Store', 'Florist', 'Coffee Bar', 'Ready Food']",Promo Big,Deluxe,€2.5M,1.1466 M,1869.49,,593.93,,578.2288,nilopolis,RJ_,-22.800936387437307,-43.42486085339982,rio de janeiro,RJ,-22.87459850346245,-43.477731000000006,val: 5.0
mc_ID_11809,"Single Male with one child, education: high school degree working as manual",30K+,"Eggs from Eggs department, Ordered Brand : Blue Medal",,25.4379,yes,['Coffee Bar'],Sale Sale Sale,Supermarket_,$6.57 M,2.3652 M,1236.07,1970.94,442.92,,val: 473.7334,belo horizonte,Mg,-19.85389462003007,measure: -43.927915814184296,sao paulo_,sp,val: -23.553644898695826,-46.63261889578163,1.0
mc_ID_11812,"Married Female with two children, education: partial high school working as manual",10K+,"Frozen Desserts from Frozen Foods department, Ordered Brand : Carrington",20.2049,,yes,"['Ready Food', 'Bar For Salad']",Save It (Sale),,8.96 M,4.2112 M,2266.02,3683.19,853.22,568.98,339.1132,belford roxo,rJ,data: -22.742235199560103,-43.40261101046788,ibitinga,SP,-21.7664768468313,-48.83154737836604,5.0
mc_ID_11813,"Married Male with two children, education: partial college working as management",90K+,"Jams and Jellies from Baking Goods department, Ordered Brand : Super",25.2925,20.7864,no,"['Bar For Salad', 'Video Store', 'Florist', 'Coffee Bar', 'Ready Food']",Price Winners,Deluxe,2.7 M,0.999 M,2038.11,2842.06,481.98,319.52,amount: 453.9117,jau,sp,-22.30774613849616,-48.57869968734491,penapolis,SP,-21.426570046543283,-50.06791761043272,val: 5.0
mc_ID_11814,Married Female with two children; education: bachelors degree working as management,70K+,"Candy from Snacks department, Ordered Brand : Thresher",data: 14.972,12.0648,yes,"['Ready Food', 'Florist', 'Bar For Salad', 'Coffee Bar']",Shelf Emptiers,Gourmet,6.32 M,Not Specified,1567.63,2207.28,385.45,256.97,773.0986,caieiras,SP,-23.339741429318384,-46.75688078158616,sao paulo,SP,val: -23.65111484251016,-46.75521082321932,1.0
mc_ID_11815,"Single Male with five children, education: partial high school working as manual",10K+,"Baking Goods from Baking Goods department, Ordered Brand : Plato",16.571,,no,"['Coffee Bar', 'Bar For Salad', 'Video Store', 'Florist', 'Ready Food']",Price Slashers,Deluxe ,5.16 M,2.0124 M,,2144.3,373.1,247.08,amount: 403.9652,goiamia,go,-16.71582450862408,-49.26037794008604,capivari,sp,measure: -23.0122137105142,-47.52203973160603,4.0
mc_ID_11816,"Married Male with four children, education: High School degree working as skilled manual",30K+,"Vegetables from Canned Foods department, Ordered Brand : Pleasant",-10.9019,measure: 9.4484,yes,"['Ready Food', 'Bar For Salad']",Two for One,supermarket,4.8 M,2.304 M,2265.9,3691.6,853.22,568.75,555.426,ananindeua,PA,-1.3556635787308342,-48.403802111059946,sao paulo,SP,measure: -23.65111484251016,-46.75521082321932,5.0
mc_ID_11817,"SiNgLe mAlE WiTh fOuR ChIlDrEn, EdUcAtIoN: bAcHeLoRs dEgReE WoRkInG As pRoFeSsIoNaL, sInGlE MaLe wItH FoUr cHiLdReN",50K+,"Candy from Snacks department, Ordered Brand : Gulf Coast",28.0543,25.0018,yes,"['Bar For Salad', 'Ready Food', 'Florist', 'Coffee Bar']",Promo Big,Deluxe,8.94 M,3.2184 M,2055.29,3142.78,654.13,436.09,267.3576,BADY BASSITT,SP,-20.9245222402303,val: -49.45780155372428,araguari,mg,-18.65223568071188,data: -48.19343213192182,val: 4.0
mc_ID_11818,"Single Female with three childern, education: Bachelors degree working as management",50K+,"Canned Soup from Canned Foods department, Ordered Brand : Better",-12.6899,9.7681,yes,"['Bar For Salad', 'Ready Food']",Coupon Spectacular,supermarket,7.48 M,2.6928 M,2265.9,3687.88,853.22,568.75,measure: 269.1881,5ao paulo,SP,-23.574334452680457,-46.50181676172888,sao paulo,"Sp
",-23.51674732944774,-46.54818243075192,4.0
mc_ID_11820,"Single Male w/ one child, education: partial college working as manual",$30K+,"Meat from Deli department, Ordered Brand : Cutting Edge",62.81 lbs,,yes,[],Save It (Sale), 5UPERMARKET ,2.16 M,0.9504 M,2049.72,2811.99,457.36,304.91,467.4051,santa barbara d'oeste,Sp,-22.72555372425961,-47.36655774789988,guarulhos,sp,-23.48378507576896,data: -46.54155402025511,4.0
mc_ID_11822,"MaRrIeD MaLe wItH TwO KiDs, EdUcAtIoN: bAcHeLoR'Ss dEgReE WoRkInG As pRoFeSsIoNaL",10K+ annually,"Specialty from Produce department, Ordered Brand : Hermanos",measure: nan,13.6492,yes,"['Florist', 'Coffee Bar', 'Bar For Salad', 'Ready Food']",Promo Big,DELUXE,5.94 M,2.673 M,2054.45,3147.96,654.13,436.09,267.3576,palhoca,Sç,measure: -27.64301988374891,-48.6725565749633,juinville,sC,-26.28314924562872,-48.85128463059032,5.0
mc_ID_11823,"Single Male with No children, education: high school degree working as skilled manual, education: high school degree working as skilled manual",50000,"Breakfast Foods from Frozen Foods department, Ordered Brand : PigTail",25.5832,24.1296,yes,"['Video Store', 'Florist', 'Ready Food', 'Bar For Salad', 'Coffee Bar']",Roller Savings (High) ,gourmet,4.48 M,1.9712 M,1424.85,2203.3,465.54,310.24,532.6232,vILa VeLhA,ES,-20.33161263550869,-40.27958609200332,Guariba,SP,-21.36235769739203,-48.232975701561735,measure: 5.0
mc_ID_11824,"Single Male with five children, education: partial high school working as skilled manual",$10K+,"Frozen Entrees from Frozen Foods department, Ordered Brand : Carrington",14.8266,,no,"['Bar For Salad', 'Video Store', 'Coffee Bar', 'Florist', 'Ready Food']",Tip Top Savings,Deluxe,11.04 M,4.1952 M,2038.11,2840.07,481.98,323.19,416.2557,sao paulo,$P,-23.617107882165563,-46.64166179368504,jau,	$P,-22.27568678711987,-48.542599749927895,5.0
mc_ID_11826,"Married Male with five kidren, education: high school degree working as professional",Income: 130K+,"Bathroom Products from Health and Hygiene department, Ordered Brand : Hilltop",val: 23.2575,data: 18.8967,yes,[],Best Price Savers,5upermarket,11.9 M,5.474 M,1508.0,1887.7,227.8,151.9,650.4028,maua,Sp,-23.656676689970634,val: -46.44420755410021,itatiba,SP,-23.005474434298936,-46.84112811740003,4.0
mc_ID_11827,"Married Female with four children, education: high school degree working as professional",$70K+,"Bathroom Products from Health and Hygiene department, Ordered Brand : Faux Products",28.6358,25.7286,yes,"['Bar For Salad', 'Florist', 'Coffee Bar', 'Ready Food', 'Video Store']",Discount Frenzy,D3luxe,$6.87 M,2.4732 M,1869.71,,593.93,395.03,326.352,duque de caxia$,RJ,-22.63424849999999,-43.26238575, guaru1hos,$P,-23.453200132516344,-46.484469408993874,5.0
mc_ID_11828,"Single Female with one child, education: Bachelors degree working as professional",50K+,"Snack Foods from Snack Foods department, Ordered Brand : Horatio",data: 17.4431,13.0823,no,"['Video Store', 'Coffee Bar', 'Ready Food', 'Bar For Salad', 'Florist']",Lottery Cash Registerion,Daluxe,9.54 M,4.5792 M,1732.11,2573.38,503.07,335.38,290.7357, Mage ,RJ,,amount: nan,laranjal paulista,$P,-23.03582473318652,-47.8363026594829,5.0
mc_ID_11829,"Single Male with three children, education: partial high school working as skilled manual",30K+,"Pure Juice Beverages from Beverages department, Ordered Brand : Fabulous",-23.2575,21.8039,yes,"['Florist', 'Coffee Bar', 'Ready Food', 'Bar For Salad', 'Video Store']",Money Savers,DEIUXE,1.95 M,0.8775 M,1525.28,2143.1,,248.79,560.656,mirassol,	SP,-20.80606834590576,-49.50314249273567,CARAZINHO,r5,-28.28944621405989,-52.79412331824494,4.0
mc_ID_11830,"Single Female with No children, education: bachelors degree working as management",70K+,"Vegetables from Canned Foods department, Ordered Brand : Better",16.8617,-15.4081,yes,"['Video Store', 'Coffee Bar', 'Bar For Salad', 'Florist', 'Ready Food']",Price Winners,Deluxe,3.78 M,1.5498 M,2037.83,2841.35,,320.77,478.9634,	guarulho$, SP,data: -23.422313378296494,-46.520062240348594,sao peulo,SP,-23.58667354731954,-46.61242320483004,4.0
mc_ID_11831,"Single Female with one child, education: partial high school working as manual",10k,"Jams and Jellies from Baking Goods department, Ordered Brand : Plato",data: 30.3801,25.874,no,[],GLD,Supermarket,2.19 M,0.9636 M,1510.75,1887.7,229.8,153.78,727.9637,cui4ba,MT,-15.58027272133767,-56.0650519526469, jau ,SP,-22.27568678711987,-48.542599749927895,5.0
mc_ID_11832,"Married Male with three children, education: bachelors degree working as management",$70K+,"Specialty from Produce department, Ordered Brand : Tell Tale",11.4398,9.9716,no,"['Florist', 'Bar For Salad', 'Ready Food', 'Coffee Bar']",Sale : Double Down,Deluxe,€11.6M,5.576 M,2055.29,3148.48,,436.12,500.7202,porto alegre,RS,-30.0373750279428,-51.10576615986805,curitiba,PR,-25.43548786011886,-49.270213781291496,data: 5.0
mc_ID_11834,"Married Male with one child, education: bachelors degree working as management",70K+,"Vegetables from Produce department, Ordered Brand : Hermanos",23.5482,,no,['Coffee Bar'],Two Day Sale,,7.89 M,3.2349 M,1236.07,1970.94,440.92,293.95,477.3944,duque de caxias,RJ,-22.78581289392769,-43.30804347053546,	guariba,"SP
",-21.36235769739203,-48.232975701561735,5.0
mc_ID_11836,"Single Female with four children, education: high school degree working as skilled manual",30K+,"Cleaning Supplies from Household department, Ordered Brand : Sunset",23.8389,20.7864,yes,"['Coffee Bar', 'Florist']",Sales Days,MID-SIZE,3.7 M,1.628 M,,3200.69,,259.25,694.9624,registro,sP,-24.49203032806276,-47.83413137913321,HORtOLaNDiA,SP,-22.887514996879027,-47.19573904628551,5.0
mc_ID_11837,"Married Female with three children, education: partial high school working as manual",10K+,"Breakfast Foods from Frozen Foods department, Ordered Brand : Golden",10.3496,7.4279,no,"['Ready Food', 'Bar For Salad', 'Florist', 'Video Store', 'Coffee Bar']",Money Savers,Deluxe,"5.44 ,000,000",2.6656 M,1522.32,2147.78,373.1,,560.656,cachoeiro de itapemirim,Es,measure: -20.84936259522784,-41.11521241330253,N1terOi,RJ,-22.89428279372572,-43.12073703239408,5.0
mc_ID_11838,"Married Male with one child, education: bachelors degree working as professional",30K+,"Frozen Desserts from Frozen Foods department, Ordered Brand : Golden",17.8792,14.972,no,"['Ready Food', 'Bar For Salad']",Super Savers,supermarket ,11.67 M,3.8511 M,2448.37,3232.19,470.27,314.65,754.7413,lucelia,5p,-21.72156946959475,-51.02246171980429,porto alegre,RS,measure: -30.110020899532547,-51.23162798932419,5.0
