field_unnamed:_0,field_person_description,min__yearly_income,customer_order,is_recyclable?,additional_features_in_market,field_promotion_name,store_kind,store_sales,store_cost,grocery_area,store_area,frozen_area,meat_area,cost,field_customer_city,customer_state,customer_lat,customer_lng,field_seller_city,seller_state,seller_lat,seller_lng,review_score,weights
mc_ID_10415,"Single Female with No children, education: bachelors degree working as professional",50K+,"Pizza from Frozen Foods department, Ordered Brand : PigTail",recyclable,,One Day Sale,SUPERMARKET,7.92 Millions,3.96 Millions,2049.72,2811.99,457.36,304.91,486.7561,sao jose dos campos,5P,-23.204900693029057,-45.950860445467086,Campo Limpo Paulista,$P,-23.20706431353269,-46.760735214610754,amount: 1.0,"{'gross': 18.3153, 'net': 13.9545}"
mc_ID_10417,"Married Female with five children, education: partial high school working as manual",10K+,"Vegetables from Produce department, Ordered Brand : Tell Tale",non recyclable,"['Bar For Salad', 'Coffee Bar', 'Florist', 'Ready Food']",Promo Big,DELUXE,"7.98 ,000,000illions",2.394 Millions,2057.08,3145.51,654.13,436.09,267.3576,porto velHO,Ro,-8.75950516543655,-63.829139181856405,praia grande,SP,-24.026786758814687,-46.49304889148245,5.0,"{'gross': 24.7111, 'net': 20.3503}"
mc_ID_10418,"Single Male with one child, education: graduate degree working as professional",70K+,"Vegetables from Canned Foods department, Ordered Brand : Blue Label",non recyclable,"['Bar For Salad', 'Coffee Bar', 'Ready Food', 'Florist']",,"Gourmet
",9.16 Millions,3.1144 Millions,1564.86,2206.24,387.45,256.97,769.7514,jaCAREi,SP,-23.270441385509848,-45.93742768428648,rio de janeiro,RJ,-22.920104850395337,-43.22138202997862,80%,"{'gross': 21.8039, 'net': 20.3503}"
mc_ID_10419,"Married Female with one child, education: bachelors degree working as professional",50K+,"Fruit from Produce department, Ordered Brand : Tell Tale",non recyclable,['Coffee Bar'],,Small Grocery,$1.74 Millions,0.783 Millions,1425.17,2092.41,398.93,Not Available,713.5289,PAulinIA,SP,-22.76161176963473,measure: -47.15147246350049,amparo,SP,-22.71217282988044,-46.78936475062037,5.0,"{'gross': 20.0596, 'net': 17.1524}"
mc_ID_10421,"Single Male with three children, education: high school degree working as manual",30K+,"Jams and Jellies from Baking Goods department, Ordered Brand : CDR",recyclable,,Three for One,Mid-Size,2.01 Millions,0.7638 Millions,2085.67,,783.64,524.13,amount: 570.5407, olho d'agua das cunhas ,MA,-4.136779327768812,-45.11946677486249,lauro de freitas,bA,-12.895112589380958,measure: -38.33895999999978,5.0,"{'gross': 30.5255, 'net': 27.6183}"
mc_ID_10422,"Single Female with No children, education: partial High School working as manual",€8K+,"Dairy from Dairy department, Ordered Brand : Even Better",non recyclable,['Coffee Bar'],Savings Galore,Supermarket,1.58 Millions,0.7268 Millions,1236.07,1966.52,440.92,295.55,724.5119,GUAXUPE,MG,-21.309842064487707,-46.7248749153552,ubatuba,sp,-23.43162669109582,val: -45.07722870122336,5.0,"{'gross': 22.8214, 'net': 18.3153}"
mc_ID_10423,"Single Male with one child , education: graduate degree working as professional",90K+,"Vegetables from Produce department, Ordered Brand : Tell Tale",non recyclable,"['Bar For Salad', 'Coffee Bar', 'Florist', 'Video Store', 'Ready Food']",Sale Winners, deLuxE,5.32 Millions,1.9684 Millions,1871.16,2861.13,593.93,397.81,519.7574,Santa Adelia, sp ,-21.24607941923738,-48.80412605259864,salto,SP,-23.20591698084141,-47.307845865803,5.0,"{'gross': 24.7111, 'net': 20.3503}"
mc_ID_10426,"Married Female with four children, education: partial high school working as skilled manual",10K+,"Cleaning Supplies from Household department, Ordered Brand : Cormorant",recyclable,['Coffee Bar'],,Supermarket ,"7.78 ,000,000illions",2.9564 Millions,,1974.3,440.92,293.95,477.3944,bom despacho,MG,-19.74074058834445,-45.25452490731858,ILICIMEA,mg,-20.944705621834668,-45.82709818233235,4.0,"{'gross': -9.0268, 'net': amount: 6.1196}"
mc_ID_10427,Single Male with two children; education: partial college working as manual,30K or more,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Portsmouth",recyclable,['Coffee Bar'],Best Price Savers,SUPERMARKET,4.32 Millions,1.3392 Millions,1236.07,1966.3,440.92,294.94,349.2594,taubate,sp,-23.00180593458236,-45.54978729572508,curitiba,PR,-25.464029318048183,-49.30472794690424,5.0,"{'gross': 23.5482, 'net': 19.1874}"
mc_ID_10428,"single male with three children, education: bachelors degree working as professional",50000,"Paper Products from Household department, Ordered Brand : Denny",recyclable,"['Bar For Salad', 'Ready Food']",,,7.47 Millions,2.9133 Millions,2265.9,3686.24,853.22,568.75,555.426,garlbaldi,_RS,-29.25817085424239,-51.5248495247722,blumenau,SC,data: -26.91679956310852,-49.10045008206197,5.0,"{'gross': 25583.20 grams, 'net': 24.1296}"
mc_ID_10430,"Single Male with five kidren, education: high school degree working as skilled manual",€25K+,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice",recyclable,,Saving Days,Supermarket,"4.92 ,000,000illions",1.5252 Millions,1508,1887.7,227.8,152.19,619.0228,sao paulo,SP,-23.56007528864907,-46.62182990175425,saO Paulo,SP,-23.515379054872383,-46.43703357172863,1.0,"{'gross': 27.0368, 'net': 24.1296}"
mc_ID_10431,"Single Male with two children, education: partial college working as management",30K+,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice",recyclable,,,,5.36 Millions,2.3584 Millions,2049.72,2814.25,457.36,304.91,708.665,santo augusto,Rs,-27.850916104432653,-53.77641671760855,sao jose,SC,-27.543786658615705,data: -48.62567962615467,5.0,"{'gross': 31.3976, 'net': 28.4904}"
mc_ID_10432,"Single Male with four children, education: partial college working as skilled manual",30k,"Electrical from Household department, Ordered Brand : Sunset",recyclable,"['Ready Food', 'Bar For Salad']",Go For It,Supermarket,10.12 Millions,3.3396 Millions,2448.37,3233.69,470.27,313.55,347.1151,XINGUARA,PA_,-7.104100400330701,val: -49.941492702113344,Ribeirao Pires,SP,-23.71719840652404,-46.395777768729744,3.0,"{'gross': 27.1822, 'net': 24.275}"
mc_ID_10433,"Single Male with five children, education: high school degree working as skilled manual",30000,"Jams and Jellies from Baking Goods department, Ordered Brand : Super",recyclable,"['Bar For Salad', 'Video Store', 'Coffee Bar', 'Ready Food', 'Florist']",Price Smashers,Deluxe,10.86 Millions,5.3214 Millions,1525.28,2147.17,373.1,249.26,499.2035,sao paulo,SP,-23.66428185651218,-46.69108104039464,sao paulo,SP,amount: -23.59539756425642,measure: -46.55163738273989,4.0,"{'gross': 27.1822, 'net': -25.7286}"
mc_ID_10435,"Single Male with one child, education: graduate degree working as professional",90K+,"Vegetables from Frozen Foods department, Ordered Brand : Imagine",recyclable,"['Coffee Bar', 'Bar For Salad', 'Florist', 'Ready Food', 'Video Store']",Sale Winners,Deluxe,"3.44 ,000,000illions",1.4792 Millions,1871.16,2860.43,593.93,395.95,val: 519.7574,Resende,RJ,-22.47805071801601,-44.50608144601535,ibitinga,Sp,-21.7664768468313,-48.83154737836604,1.0,"{'gross': 25.7286, 'net': 22.8214}"
mc_ID_10436,"Single Male with four children, education: partial high school working as skilled manual",10K+,"Starchy Foods from Starchy Foods department, Ordered Brand : Monarch",non recyclable,['Coffee Bar'],Weekend Discount,Supermarket,12.44 Millions,4.4784 Millions,1236.07,1969.2,,293.44,364.1649,"ilheus
",BA,-14.81960123333446,-39.026598971929936,petropolis,RJ,-22.549033360244323,-43.210094724044055,5.0,"{'gross': 12.2683, 'net': 9.3466}"
mc_ID_10437,"Married Female with one child, education: high school degree working as skilled manual",30K+,"Carbonated Beverages from Beverages department, Ordered Brand : Token",recyclable,['Coffee Bar'],Savings Galore,_Supermarket,4.2 Millions,1.68 Millions,1236.07,1973.16,440.92,294.98,724.5119,marilia,SP,-22.2328691873449,-49.94264526602805, ibitinga,SP,-21.7664768468313,-48.83154737836604,val: 5.0,"{'gross': 23.8389, 'net': 20.7864}"
mc_ID_10441,"Single Male with five children, education: high school degree working as professional",130K+,"Starchy Foods from Starchy Foods department, Ordered Brand : Shady Lake",recyclable,"['Ready Food', 'Bar For Salad']",Money Savers,$upermarket,13.56 Millions,6.78 Millions,2265.9,3687.88,855.22,567.61,432.0503,PirItIba,BA,-11.733088856911984,-40.55720816085895,recife,Pa,-8.138173275583135,val: -34.9322264583223,5.0,"{'gross': 28.6358, 'net': 27.1822}"
mc_ID_10442,"Married Male with one child, education: partial high school working as manual",10K+,"Pain Relievers from Health and Hygiene department, Ordered Brand : Steady",recyclable,,Wallet Savers,Supermarket,5.22 Millions,1.7748 Millions,,2810.55,459.36,304.91,418.1385,praia grande,SP,-23.996571024698504,val: -46.42127572522938,Sao Pau1O,$P,-23.50875908021236,measure: -46.602973042876144,data: 2.0,"{'gross': 15.6988, 'net': 28.20 lbs}"
mc_ID_10443,"single female with five kids, education: bachelor'ss degree working as professional",Income: 50K+,"Side Dishes from Deli department, Ordered Brand : Red Spade",non recyclable,"['Video Store', 'Coffee Bar', 'Ready Food', 'Florist', 'Bar For Salad']",GLD,Deluxe,2.04 Millions,0.8364 Millions,1873.35,2861.46,593.93,395.95,484.1411,maringa,pr,-23.377396999935016,-51.93100618003307,capivari,SP,-23.0122137105142,-47.52203973160603,60%,"{'gross': amount: 24.5657, 'net': 21.5132}"
mc_ID_10444,"MaRrIeD MaLe wItH ThReE KiDs, EdUcAtIoN: gRaDuAtE DeGrEe wOrKiNg aS PrOfEsSiOnAl",70K+,"Carbonated Beverages from Beverages department, Ordered Brand : Excellent",recyclable,['Florist'],Budget Bargains,Supermarket,8.72 Millions,3.6624 Millions,1320.15,2189.94,523.32,348.36,738.7898,SAO PAULO,Sp,-23.471434582289824,-46.64062326449884,Salto ,SP,-23.20591698084141,-47.307845865803,5.0,"{'gross': 19.0421, 'net': 16.1349}"
mc_ID_10446,"Married Male with four children, education: bachelors degree working as professional",50K+,"Eggs from Eggs department, Ordered Brand : Urban",recyclable,"['Video Store', 'Bar For Salad', 'Florist', 'Ready Food', 'Coffee Bar']",I Cant Believe It Sale,DELUXE,€8.0M,3.102 Millions,1734.5,2575.6,503.07,335.38,measure: 363.3281,sao paulo_,SP,-23.525377438802,-46.40950968151651,varginha,MG,-21.585276344697668,-45.454583703786064,5.0,"{'gross': 28.0543, 'net': 25.0018}"
mc_ID_10447,"Married Female with one child, education: high school degree working as professional",110K+,"Jams and Jellies from Baking Goods department, Ordered Brand : BBB Best",non recyclable,,Sale Winners,SUPERMARKET,$8.34 Millions,3.2526 Millions,1508,1887.7,227.8,,720.171,itaguai,RJ,-22.87358979081365,data: -43.77293188513139,illcinea,mG,-20.944705621834668,-45.82709818233235,10.0/10,"{'gross': 9.4338, 'net': 7.9657}"
mc_ID_10448,"Single Male with five children, education: partial college working as manual",30K or more,"Dairy from Dairy department, Ordered Brand : Even Better",recyclable,,Big Time Discounts,Supermarket,2.88 Millions,1.2096 Millions,1508,1885.85,227.8,151.9,761.488,eSPiRitO SAnTO Do PinhaL,SP,-22.18081673466526,-46.75045932004407,porto elegre,RS,-30.01769047489746,-51.19121208090485,5.0,"{'gross': 17.4431, 'net': 13.0823}"
mc_ID_10449,"Single Male with two kids, education: high school degree working as manual",30000,"Candy from Snacks department, Ordered Brand : Musial",Not Specified,"['Bar For Salad', 'Ready Food']",You Save Days,Supermarket,13.72 Millions,5.0764 Millions,2268.77,3686.72,853.22,568.75,268.1421,SAO PAULO,	Sp,-23.537290117980763,-46.65443089812821,ribeirao preto,SP,-21.174925033585303,-47.7686162776848,3.0,"{'gross': 23.2575, 'net': data: 20.3503}"
mc_ID_10450,"Married Female with two children, education: bachelors degree working as professional",70K or more,"Pure Juice Beverages from Beverages department, Ordered Brand : Skinner",non recyclable,"['Bar For Salad', 'Florist', 'Video Store', 'Ready Food', 'Coffee Bar']",Shelf Clearing Days,Deluxe,4.32Ms,1.6848 Millions,1871.16,2860.96,593.93,397.49,516.7763,Sao Carlos,SP,amount: -22.01401696225976,measure: -47.87496317485142, SAO PAULO ,"SP
",-23.65111484251016,-46.75521082321932,5.0,"{'gross': 470.18 oz, 'net': 11.8759}"
mc_ID_10451,Married Male with three children | education: bachelors degree working as professional,70K+,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice",non recyclable,"['Bar For Salad', 'Ready Food']",Super Duper Savers,Supermarket,"10.65 ,000,000illions",4.686 Millions,2266.83,3687.88,853.22,568.75,677.285,aluminio,SP,-23.51736771076844,-47.26079094034855,pocos de caldas, mg ,,,3.0,"{'gross': 16.7163, 'net': 12.3555}"
mc_ID_10454,"Single Male with one child, education: bachelors degree working as professional",130k,"Vegetables from Produce department, Ordered Brand : Tell Tale",recyclable,,Sale : Double Down,supermARket,5.61 Millions,2.805 Millions,2049.72,,,304.91,327.7641,juazeiro,BA,-9.41607599375542,-40.49660607987629,sao paulo,SP_,-23.59798552039933,-46.55547278711988,3.0,"{'gross': 21.3678, 'net': -19.7689}"
mc_ID_10455,"Single Female with two children, education: graduate degree working as professional",70K+,"Breakfast Foods from Frozen Foods department, Ordered Brand : Golden",recyclable,"['Coffee Bar', 'Florist', 'Ready Food', 'Video Store', 'Bar For Salad']",GLD,	Deluxe,1.86 Millions,0.8928 Millions,1871.16,2863.16,593.93,396.17,484.1411,curitiba,PR,-25.419033754919543,-49.234728216486815,sao bernardo do campo,SP,-23.71933860892157,-46.5517479343586,5.0,"{'gross': amount: 11.4834, 'net': val: 7.1226}"
mc_ID_10457,Married Male with four children | education: partial high school working as professional,130K+,"Fruit from Produce department, Ordered Brand : Tri-State",non recyclable,"['Florist', 'Video Store', 'Ready Food', 'Coffee Bar', 'Bar For Salad']",One Day Sale,Delux3,8.85 Millions,2.7435 Millions,1871.16,2865.8,593.93,396.55,val: 360.3993,campinas,SP,data: -22.893320409660102,-47.11943414501704,kolombo,PR,-25.371298736141743,-49.18823376385825,,"{'gross': 22.0946, 'net': 19.0421}"
mc_ID_10460,"Married Male with two children, education: bachelors degree working as management",70K+,"Snack Foods from Snack Foods department, Ordered Brand : Horatio",recyclable,['Coffee Bar'],Weekend Discount,Supermarket,"14.1 ,000,000illions",4.512 Millions,1233.35,1970.52,440.92,292.78,364.1649,rio de janeiro,rj,-22.867576228980287,-43.3308889694731,ribeirao preto,SP,-21.116471333054424,val: -47.79073400291418,4.0,"{'gross': 26.6008, 'net': -22.0946}"
mc_ID_10461,"Single Male with four children, education: graduate degree working as professional",70K+,"Canned Soup from Canned Foods department, Ordered Brand : Bravo",recyclable,,Tip Top Savings,Supermarket,10.96 Millions,3.6168 Millions,2049.72,2811.99,457.36,304.91,557.8318,curitiba,pr,amount: -25.52027037468981,-49.27982988328814,itauna,MG,-20.08212660423176,-44.5732983518722,amount: 3.0,"{'gross': 25.7286, 'net': 22.8214}"
mc_ID_10462,"Single Male with No children, education: bachelors degree working as professional",70 Thousand,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice",non recyclable,,Big Time Discounts,,8.13 Millions,2.6829 Millions,2049.72,2810.57,457.36,304.13,£226.78,rio de janeiro,RJ,-22.85777881320336,-43.25262574493621,sao jose do rio preto,$P,-20.80243626346376,amount: -49.39562406741489,5.0,"{'gross': 30.0894, 'net': 25.7286}"
mc_ID_10463,"Married Male with two children, education: partial college working as management",90K+ annually,"Dairy from Dairy department, Ordered Brand : Booker",non recyclable,,Savings Galore,Mid-Size,7.96 Millions,3.3432 Millions,2819.7,3563.61,447.7,298.5,708.8742,barras,PI,-4.242819182226259,-42.295534696116334,sao paulo,SP,measure: -23.56168119891244,-46.50627110555333,measure: 5.0,"{'gross': 30.3801, 'net': 27.3275}"
mc_ID_10467,"Single Female with two children, education: partial high school working as manual",30K+,"Vegetables from Produce department, Ordered Brand : Tell Tale",recyclable,,You Save Days,Supermarket,5.28 Millions,1.9536 Millions,1508,1883.69,227.8,151.9,565.9906,VALINHOS,SP,-22.9865591766809,-46.98871848455929,blumenau,SC,-26.953576281983977,-49.08280584277794,5.0,"{'gross': -0.1, 'net': 7.8785}"
mc_ID_10468,"Single Male with one child, education: high school degree working as professional",90K+ annually,"Breakfast Foods from Breakfast Foods department, Ordered Brand : Best",non recyclable,"['Video Store', 'Coffee Bar', 'Florist', 'Ready Food', 'Bar For Salad']",Promo Big,Gourmet,7.0 Millions,3.22 Millions,1424.85,2203.43,465.54,310.3,612.1192,	feira de santana,B@,-12.263456068378396,-38.9293114047869,lencols paulista,SP,-22.6025864711492,amount: -48.81247149518349,1.0,"{'gross': amount: 22.3853, 'net': 17.8792}"
mc_ID_10469,"Married  Female  with  three  children,  education:  partial  high  school  working  as  manual",30K+,"Bathroom Products from Health and Hygiene department, Ordered Brand : Steady",recyclable,,Shelf Clearing Days,Supermarket,€6.1M,2.664 Millions,1621.29,2188.86,341.05,,288.8006,curitiba, PR ,-25.51600247821569,-49.29479024562872,sao paulo,Sp_,-23.65111484251016,data: -46.75521082321932,5.0,"{'gross': 16.7163, 'net': 12.3555}"
mc_ID_10471,"Married Male with four kids, education: bachelors degree working as management",50K+,"Snack Foods from Snack Foods department, Ordered Brand : Fast",non recyclable,['Coffee Bar'],,5upermarket,11.12 Millions,4.2256 Millions,1236.07,1970.94,,294.99,647.8924,franco da rocha, SP ,-23.325888190892385,-46.70730657041552, ibitinga ,SP,-21.7664768468313,-48.83154737836604,4.0,"{'gross': 21.3678, 'net': 18.3153}"
mc_ID_10472,"Single Male with two children, education: bachelors degree working as management",600+ monthly,"Specialty from Produce department, Ordered Brand : High Top",recyclable,"['Bar For Salad', 'Coffee Bar', 'Video Store', 'Florist', 'Ready Food']",Shelf Emptiers,Gourmet,5.44 Millions,1.7952 Millions,1424.85,2195.76,,310.3,616.4078,TARUMA,SP,-22.751694253550635,-50.5739497814992,floriamopolis,SC,val: -27.60731306466045,-48.59058002775691,data: 1.0,"{'gross': 21.0771, 'net': 18.1699}"
mc_ID_10474,"SiNgLe fEmAlE WiHt tWo cHiLdReN , EdUcAtIoN: pArTiAl hIgH ScHoOl wOrKiNg aS MaNuAl",10K+,"Vegetables from Frozen Foods department, Ordered Brand : Golden",recyclable,['Coffee Bar'],Big Time Saving,Supermarket,4.38 Millions,2.1024 Millions,1236.07,1970.94,440.92,292.31,amount: 710.234,SAO PAULO,_SP,-23.740974,-46.67018849999998,beLU HoRIzoNTe,MG,-19.92468463835193,-43.90432264946042,5.0,"{'gross': 12.4718, 'net': -8.0965}"
mc_ID_10477,MARRIED MALE WIHT ONE CHILD; EDUCATION: BACHELORS DEGREE WORKING AS PROFESSIONAL,€59K+,"Packaged Vegetables from Produce department, Ordered Brand : Ebony",recyclable,['Coffee Bar'],Pick Your Savings,Supermarket,6.87 Millions,2.748 Millions,1236.07,1968.88,440.92,,436.7573,rio de janeiro,Rj,-22.972956517889177,-43.39706327699233,ribeirao preto,$P,-21.116471333054424,-47.79073400291418,4.0,"{'gross': 25.1472, 'net': 22.0946}"
mc_ID_10478,"Married Male with two children, education: high school degree working as skilled manual",30K+,"Snack Foods from Snack Foods department, Ordered Brand : Fast",recyclable,"['Bar For Salad', 'Ready Food']",,Supermarket,1.53 Millions,0.7038 Millions,2265.9,3685.88,853.22,568.75,554.903,salvador,BA,-12.942858153759603,-38.493004950458754,penapolis,$P,-21.426570046543283,-50.06791761043272,4.0,"{'gross': 17.8792, 'net': val: 16.4256}"
mc_ID_10479,"Single Male with two children, education: high school degree working as professional",130k,"Vegetables from Produce department, Ordered Brand : Tell Tale",recyclable,"['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Florist']",Save Price,Deluxe,5.61 Millions,2.3562 Millions,2055.29,3145.51,654.13,436.09,amount: 584.191,sao bernardo do campo,SP,-23.69945854284748,-46.5484635,sao paulo,SP_,-23.693985995008337,-46.70188324132953,4.0,"{'gross': 21.37 kg, 'net': 19.7689}"
mc_ID_10480,"MARRIED FEMALE WITH NO CHILDREN, EDUCATION: BACHELORS DEGREE WORKING AS PROFESSIONAL",50K+,"Vegetables from Produce department, Ordered Brand : Tri-State",recyclable,,Wallet Savers,Supermarket,4.42 Millions,2.1216 Millions,1508,1887.7,227.8,151.9,277.8699,sao paul0,SP,-23.534478565641404,measure: -46.65502761740432,sao bernardo do campo,SP,-23.693028139881143,-46.54695362280001,4.0,"{'gross': 28.4904, 'net': 27.0368}"
mc_ID_10481,"Married Female with two children, education: bachelos degree working as professional",70K+,"Dairy from Dairy department, Ordered Brand : Even Better",recyclable,['Coffee Bar'],Super Savers,_SUPERMARKET,2.55 Millions,1.2495 Millions,1237.8,1970.94,440.92,,704.2718,feira de santana ,BA,-12.287488263402311,-38.95425630806746,sao paulo,sp,-23.53321650340715,-46.50046729003948,5.0,"{'gross': 21.5132, 'net': 18.606}"
mc_ID_10482,"education: partial high school working as skilled manual, Married Male with three children",10K+,"Pizza from Frozen Foods department, Ordered Brand : Big Time",recyclable,['Coffee Bar'],Weekend Discount,Supermarket,2.4Ms,1.08 Millions,1236.07,1970.88,440.92,293.95,364.1649,uberab@,mg,-19.746147215890183,-47.94235360794509,Itaquaquecetub@,Sp,-23.48262344063541,-46.37448952833195,5.0,"{'gross': 22.5307, 'net': 18169.90 grams}"
